	blast_score	multiblast_score	n_hits	normalized_score	qry_cluster	qry_gene	qry_gene_end	qry_gene_start	qry_gene_strand	qry_genes_len	qry_strain	ref_cluster	ref_genes_len	ref_strain	svg
78	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	39486	38209	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
79	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	35867	33038	-1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
80	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	EAU36849	32108	20001	-1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
81	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	19969	19118	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
82	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	18811	17577	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
83	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	14016	13052	-1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
84	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	12869	11516	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
85	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	10215	7753	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
86	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	6117	3838	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
87	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	2664	2481	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
88	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	2313	1599	-1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
89	X	X	X	X	X	EAU36851	33720	31744	1	X	NIH	CH476597.1.region009	X	NIH	X
90	X	X	X	X	X	EAU36850	31056	23380	1	X	NIH	CH476597.1.region009	X	NIH	X
91	X	X	X	X	X	EAU36849	21401	20001	-1	X	NIH	CH476597.1.region009	X	NIH	X
92	X	X	X	X	X	EAU36848	19292	14339	-1	X	NIH	CH476597.1.region009	X	NIH	X
93	X	X	X	X	X	EAU36847	10511	9186	1	X	NIH	CH476597.1.region009	X	NIH	X
94	X	X	X	X	X	EAU36846	6868	6330	1	X	NIH	CH476597.1.region009	X	NIH	X
95	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	46157	44563	-1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
96	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	44139	42400	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
97	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	41124	39579	-1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
98	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	39486	38209	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
99	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	35867	33038	-1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
100	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	EAU30225	32108	20001	-1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
101	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	19969	19118	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
102	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	18811	17577	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
103	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	14016	13052	-1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
104	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	12869	11516	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
105	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	10215	7753	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
106	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	6117	3838	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
107	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2664	2481	1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
108	686	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2313	1599	-1	1	antismash_GCA_001630395	CH476607.1.region003	18	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_4
112	X	X	X	X	X	EAU30229	38055	37530	-1	X	NIH	CH476607.1.region003	X	NIH	X
113	X	X	X	X	X	EAU30228	36033	31789	-1	X	NIH	CH476607.1.region003	X	NIH	X
114	X	X	X	X	X	EAU30227	30983	28865	1	X	NIH	CH476607.1.region003	X	NIH	X
115	X	X	X	X	X	EAU30226	27602	26809	-1	X	NIH	CH476607.1.region003	X	NIH	X
116	X	X	X	X	X	EAU30225	26257	18972	-1	X	NIH	CH476607.1.region003	X	NIH	X
117	X	X	X	X	X	EAU30224	18435	17419	1	X	NIH	CH476607.1.region003	X	NIH	X
118	X	X	X	X	X	EAU30223	16916	15936	1	X	NIH	CH476607.1.region003	X	NIH	X
119	X	X	X	X	X	EAU30222	15346	13354	1	X	NIH	CH476607.1.region003	X	NIH	X
120	X	X	X	X	X	EAU30221	13041	11539	1	X	NIH	CH476607.1.region003	X	NIH	X
121	X	X	X	X	X	EAU30220	10679	9693	-1	X	NIH	CH476607.1.region003	X	NIH	X
122	X	X	X	X	X	EAU30219	9158	8344	1	X	NIH	CH476607.1.region003	X	NIH	X
123	X	X	X	X	X	EAU30218	7500	5269	-1	X	NIH	CH476607.1.region003	X	NIH	X
124	X	X	X	X	X	EAU30217	4687	3840	-1	X	NIH	CH476607.1.region003	X	NIH	X
125	X	X	X	X	X	EAU30216	3274	1982	-1	X	NIH	CH476607.1.region003	X	NIH	X
126	X	X	X	X	X	EAU30215	1828	1	1	X	NIH	CH476607.1.region003	X	NIH	X
127	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	46157	44563	-1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
128	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	44139	42400	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
129	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	41124	39579	-1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
130	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	39486	38209	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
131	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	35867	33038	-1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
132	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	EAU29417	32108	20001	-1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
133	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	19969	19118	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
134	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	18811	17577	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
135	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	14016	13052	-1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
136	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	12869	11516	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
137	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	10215	7753	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
138	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	6117	3838	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
139	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	2664	2481	1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
140	1258	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	2313	1599	-1	2	antismash_GCA_001630395	CH476609.1.region001	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_3
141	X	X	X	X	X	EAU29422	59852	58165	-1	X	NIH	CH476609.1.region001	X	NIH	X
142	X	X	X	X	X	EAU29421	55867	54476	-1	X	NIH	CH476609.1.region001	X	NIH	X
143	X	X	X	X	X	EAU29420	53203	51675	1	X	NIH	CH476609.1.region001	X	NIH	X
144	X	X	X	X	X	EAU29419	50985	49687	-1	X	NIH	CH476609.1.region001	X	NIH	X
145	X	X	X	X	X	EAU29418	47930	45452	-1	X	NIH	CH476609.1.region001	X	NIH	X
146	X	X	X	X	X	EAU29417	43998	35957	1	X	NIH	CH476609.1.region001	X	NIH	X
147	X	X	X	X	X	EAU29416	35077	32917	1	X	NIH	CH476609.1.region001	X	NIH	X
148	X	X	X	X	X	EAU29415	31350	29839	1	X	NIH	CH476609.1.region001	X	NIH	X
149	X	X	X	X	X	EAU29414	28549	25240	-1	X	NIH	CH476609.1.region001	X	NIH	X
150	X	X	X	X	X	EAU29413	24685	23292	-1	X	NIH	CH476609.1.region001	X	NIH	X
151	X	X	X	X	X	EAU29412	22912	21660	1	X	NIH	CH476609.1.region001	X	NIH	X
152	X	X	X	X	X	EAU29411	21262	20492	-1	X	NIH	CH476609.1.region001	X	NIH	X
153	X	X	X	X	X	EAU29410	20258	10694	1	X	NIH	CH476609.1.region001	X	NIH	X
154	X	X	X	X	X	EAU29409	10211	8479	-1	X	NIH	CH476609.1.region001	X	NIH	X
155	X	X	X	X	X	EAU29408	6896	5910	1	X	NIH	CH476609.1.region001	X	NIH	X
156	X	X	X	X	X	EAU29407	5147	1	-1	X	NIH	CH476609.1.region001	X	NIH	X
157	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	46157	44563	-1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
158	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	44139	42400	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
159	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	41124	39579	-1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
160	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	39486	38209	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
161	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	35867	33038	-1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
162	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	EAU32663	32108	20001	-1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
163	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	19969	19118	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
164	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	18811	17577	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
165	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	14016	13052	-1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
166	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	12869	11516	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
167	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	10215	7753	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
168	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	6117	3838	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
169	1446	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	2664	2481	1	2	antismash_GCA_001630395	CH476603.1.region003	19	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_2
